Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
91,3251109158,3251109158,23567,1686800,10170000,3870000,1686800,4613200,0.380531,0,0,0,1
92,3253308134,3253308134,23580,1677200,10170000,3877400,1677200,4615400,0.381259,0,0,0,1
93,3232454631,3232454631,23517,1675600,10170000,3865600,1675600,4628800,0.380098,0,0,0,1
94,3260571536,3260571536,23557,1700400,10170000,3861200,1700400,4608400,0.379666,0,0,0,1
95,3239971846,3239971846,23554,1678400,10170000,3871600,1678400,4620000,0.380688,0,0,0,1
96,3264295855,3264295855,23551,1688400,10170000,3866000,1688400,4615600,0.380138,0,0,0,1
97,3237238997,3237238997,23529,1676200,10170000,3867700,1676200,4626100,0.380305,0,0,0,1
98,3250187213,3250187213,23490,1671400,10170000,3862300,1671400,4636300,0.379774,0,0,0,1
99,3266744685,3266744685,23548,1706800,10170000,3856200,1706800,4607000,0.379174,0,0,0,1
100,3275164545,3275164545,23522,1694800,10170000,3857000,1694800,4618200,0.379253,0,0,0,1
